sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V95	improved	5%	-511740.4009309	17	511740.4009309
V96	improved	5%	-451779.2220146	17	451779.2220146
V97	improved	5%	-578067.533552	17	578067.533552
V98	improved	5%	-590485.951828	17	590485.951828
V99	improved	5%	-323533.8838846	17	323533.8838846
V100	improved	5%	-496173.1166481	17	496173.1166481
V101	improved	5%	-515188.7115725	17	515188.7115725
V102	improved	5%	-424210.4216608	17	424210.4216608
V103	improved	5%	-448902.0548891	17	448902.0548891
V104	improved	5%	-311239.7882081	17	311239.7882081
V105	improved	5%	-519946.7470224	17	519946.7470224
V106	improved	5%	-464022.0561129	17	464022.0561129
V107	improved	5%	-272964.3124505	17	272964.3124505
V108	improved	5%	-286645.4473812	17	286645.4473812
V109	improved	5%	-447602.0234565	17	447602.0234565
V110	improved	5%	-530705.2555465	17	530705.2555465
V111	improved	5%	-484038.1664288	17	484038.1664288
V112	improved	5%	-364511.7432586	17	364511.7432586
V113	improved	5%	-427480.2869782	17	427480.2869782
V114	improved	5%	-314855.544735	17	314855.544735
V115	improved	5%	-535336.8870965	17	535336.8870965
V116	improved	5%	-400882.7599707	17	400882.7599707
V117	improved	5%	-524827.1758654	17	524827.1758654
V118	improved	5%	-336290.5584098	17	336290.5584098
V119	improved	5%	-315210.1830434	17	315210.1830434
V120	improved	5%	-389824.4531264	17	389824.4531264
V121	improved	5%	-507917.4140736	17	507917.4140736
V122	improved	5%	-533952.0313004	17	533952.0313004
V123	improved	5%	-491861.7495396	17	491861.7495396
V124	improved	5%	-404727.4214396	17	404727.4214396
V125	improved	5%	-266408.4602895	17	266408.4602895
V126	improved	5%	-287307.0414593	17	287307.0414593
V127	improved	5%	-281180.4571953	17	281180.4571953
V128	improved	5%	-341265.3600649	17	341265.3600649
V129	improved	5%	-337807.3115668	17	337807.3115668
V130	improved	5%	-314914.5947026	17	314914.5947026
V131	improved	5%	-383937.3340672	17	383937.3340672
V132	improved	5%	-272355.5990802	17	272355.5990802
V133	improved	5%	-414753.0583552	17	414753.0583552
V134	improved	5%	-363297.169201	17	363297.169201
V135	improved	5%	-444299.683147	17	444299.683147
V136	improved	5%	-404706.5742132	17	404706.5742132
V137	improved	5%	-358450.6601846	17	358450.6601846
V138	improved	5%	-499476.0021492	17	499476.0021492
V139	improved	5%	-180736.08477	17	180736.08477
V140	improved	5%	-496552.1598099	17	496552.1598099
V141	improved	5%	-225254.4642452	17	225254.4642452
V142	improved	5%	-362120.2504889	17	362120.2504889
V143	improved	5%	-334123.6511999	17	334123.6511999
V144	improved	5%	-276704.5191839	17	276704.5191839
V145	improved	5%	-172313.8564423	17	172313.8564423
V146	improved	5%	-397406.8928324	17	397406.8928324
V147	improved	5%	-327007.99005	17	327007.99005
V148	improved	5%	-438775.8812774	17	438775.8812774
V149	improved	5%	-278873.5551568	17	278873.5551568
V150	improved	5%	-381843.9777767	17	381843.9777767
V151	improved	5%	-510396.2277356	17	510396.2277356
V152	improved	5%	-141854.9969013	17	141854.9969013
V153	improved	5%	-308125.6465917	17	308125.6465917
V154	improved	5%	-247213.4797556	17	247213.4797556
V155	improved	5%	-200014.1045172	17	200014.1045172
V156	improved	5%	-242310.7916718	17	242310.7916718
V157	improved	5%	-368786.7689459	17	368786.7689459
V158	improved	5%	-388840.4321868	17	388840.4321868
V159	improved	5%	-268911.7206758	17	268911.7206758
V160	improved	5%	-331412.1083658	17	331412.1083658
V161	improved	5%	-355477.2948116	17	355477.2948116
V162	improved	5%	-304187.5004017	17	304187.5004017
V163	improved	5%	-316234.9963462	17	316234.9963462
V164	improved	5%	-271018.5719001	17	271018.5719001
V165	improved	5%	-419833.1541604	17	419833.1541604
V166	improved	5%	-391324.367497	17	391324.367497
V167	improved	5%	-503786.4363939	17	503786.4363939
V168	improved	5%	-433219.9323211	17	433219.9323211
V169	improved	5%	-494017.9942376	17	494017.9942376
V170	improved	5%	-441552.9060844	17	441552.9060844
V171	improved	5%	-526173.8801544	17	526173.8801544
V172	improved	5%	-379859.1098014	17	379859.1098014
V173	improved	5%	-296557.9667594	17	296557.9667594
V174	improved	5%	-559000.8946194	17	559000.8946194
V175	improved	5%	-568742.0835341	17	568742.0835341
V176	improved	5%	-407239.7605957	17	407239.7605957
V177	improved	5%	-220373.7816374	17	220373.7816374
V178	improved	5%	-175382.308576	17	175382.308576
V179	improved	5%	-478564.0365168	17	478564.0365168
V180	improved	5%	-469695.6333529	17	469695.6333529
V181	improved	5%	-430062.0006189	17	430062.0006189
V182	improved	5%	-290564.0321737	17	290564.0321737
V183	improved	5%	-472711.009588	17	472711.009588
V184	improved	5%	-408390.2023443	17	408390.2023443
V185	improved	5%	-341672.6247826	17	341672.6247826
V186	improved	5%	-498220.9468069	17	498220.9468069
V187	improved	5%	-478781.2241481	17	478781.2241481
V188	improved	5%	-603004.4102836	17	603004.4102836
V189	improved	5%	-378690.6310035	17	378690.6310035
V190	improved	5%	-309095.722346	17	309095.722346
V191	improved	5%	-544145.2277856	17	544145.2277856
V192	improved	5%	-356353.6238486	17	356353.6238486
V193	improved	5%	-2407.6845569	17	2407.6845569
V194	improved	5%	-284284.4983249	17	284284.4983249
