UID,geno,panicle_num,panicle_weight,panicle_avg,rachis_len,rachis_dia,DaysToBloom,PlantHeight,Treatment_Type,note
41036,PI 655990,3,261.1,87.03333333,27.33333333,1.005,NA,NA,LN,Tall_Early
41101,PI 534046,3,538.6,179.5333333,36.46666667,1.236333333,63.625,225.6,LN,Short_Early
41102,PI 329440,3,233.4,77.8,30.83333333,1.005,64.55555556,207.3333333,LN,Short_Early
41103,check,3,536.1,178.7,37.23333333,1.230666667,NA,NA,LN,NA
41104,PI 533833,3,135.2,45.06666667,36.9,0.694666667,64.66666667,204.3333333,LN,Short_Early
41105,check,3,387.5,129.1666667,36.33333333,1.056666667,NA,NA,LN,NA
41106,PI 595741,3,166.7,55.56666667,33.2,0.686,64.125,198.4,LN,Short_Early
41107,PI 597950,3,251.6,83.86666667,19,1.041,59.88888889,215.2,LN,Short_Early
41108,PI 641874,3,123.8,41.26666667,28.1,0.858666667,64,230.6666667,LN,Short_Early
41109,PI 656120,1,83.2,83.2,24.1,1.093,64.42857143,75.75,LN,Short_Early
41110,PI 656081,3,238.5,79.5,29.83333333,0.794666667,60,228.6,LN,Short_Early
41111,PI 656047,3,306.8,102.2666667,21.6,1.031666667,NA,NA,LN,Short_Early
41112,PI 656055,1,102.2,102.2,34.2,0.79,66.11111111,226.5,LN,Short_Early
41113,PI 533943,1,53.5,53.5,28.3,1.438,68.33333333,158.3333333,LN,Short_Late
41114,PI 533807,3,400.2,133.4,27.46666667,1.168333333,72,211.25,LN,Short_Late
41116,PI 533902,3,185.9,61.96666667,33.63333333,0.967,75.55555556,225,LN,Short_Late
41117,PI 655996,1,122,122,29.7,1.238,66.5,165,LN,Short_Late
41118,PI 576434,1,94.3,94.3,18.6,1.31,80,160,LN,Short_Late
41119,PI 564165,2,137.5,68.75,31.55,0.838,77.44444444,218.1666667,LN,Short_Late
41120,PI 656002,3,255.3,85.1,29.26666667,0.812,68,230,LN,Short_Late
41121,PI 656061,1,33.1,33.1,21.8,0.896,74.11111111,213,LN,Short_Late
41122,PI 656110,3,213.8,71.26666667,21.8,0.974333333,67.77777778,202.1666667,LN,Short_Late
41123,PI 656007,3,124.5,41.5,18.53333333,0.685333333,66.66666667,203,LN,Short_Late
41124,PI 655988,3,370.3,123.4333333,27.5,1.126666667,NA,NA,LN,Short_Late
41125,PI 533794,2,228.9,114.45,30,1.0605,66.11111111,282.3333333,LN,Tall_Early
41126,PI 534132,1,116.3,116.3,23.1,1.588,67.25,282.4,LN,Tall_Early
41127,PI 534139,3,142.5,47.5,27.9,0.827333333,62.14285714,311.5,LN,Tall_Early
41128,PI 533985,3,335.4,111.8,26.36666667,1.202,66,308.2,LN,Tall_Early
41129,PI 613536,1,122.4,122.4,20571.1,1.22,66.57142857,311.6,LN,Tall_Early
41130,PI 534167,3,184,61.33333333,24.93333333,0.996,67,275,LN,Tall_Early
41131,PI 597976,3,253,84.33333333,32.13333333,0.872333333,61.33333333,318.5,LN,Tall_Early
41132,PI 642793,1,38.3,38.3,19.7,0.674,67.11111111,520.6666667,LN,Tall_Early
41133,PI 656090,3,216.2,72.06666667,31.26666667,0.705666667,65.16666667,337.75,LN,Tall_Early
41134,PI 656035,3,130.6,43.53333333,26.36666667,0.944333333,66.33333333,281,LN,Tall_Early
41135,PI 655981,3,167.5,55.83333333,43.4,0.649,66.44444444,329.8333333,LN,Tall_Early
41136,PI 656046,3,347.8,115.9333333,23.06666667,1.17,66,331.8,LN,Tall_Early
41201,PI 533996,3,338.5,112.8333333,26.26666667,1.263,62.55555556,143.1666667,LN,Short_Early
41202,PI 533979,1,145.1,145.1,24.95,1.001,59.375,197,LN,Short_Early
41203,PI 533961,1,68.9,68.9,18.1,1.253,63.875,79.2,LN,Short_Early
41204,PI 534092,3,145.6,48.53333333,29.66666667,1.141,65,75,LN,Short_Early
