"genotype"	"LN:daysToFlower"	"LN:plantHeight"	"LN:tillersPerPlant"	"LN:stemDiameterUpper"	"LN:stemDiameterLower"	"HN:daysToFlower"	"HN:extantLeafNumber"	"HN:plantHeight"	"HN:thirdLeafLength"	"HN:thirdLeafWidth"	"HN:tillersPerPlant"	"HN:stemDiameterLower"	"HN:stemDiameterUpper"	"HN:percentMoisture"	"HN:percentProtein"	"HN:percentOil"	"HN:percentAsh"	"HN:percentStarch"	"daysToFlower:NR"	"plantHeight:NR"	"tillersPerPlant:NR"	"stemDiameterUpper:NR"	"stemDiameterLower:NR"	"daysToFlower"	"plantHeight"	"tillersPerPlant"	"stemDiameterUpper"	"stemDiameterLower"
"21"	"PI 533794"	9.30521934514205	-54.5762068868622	-1.40676636302287	2.53256475228591	6.18853872415248	11.9377941944756	1.73688804425605	-50.9231053183159	20.2835806428196	3.04685630026951	-2.23753032767404	6.74078092589461	3.44917163488594	1.74307534998352	-0.013446482015382	1.65417904838294	0.276409526509647	1.53466300673516	-0.114385138117928	-0.17383779084537	0.580789885899615	0.0197977333632648	0.0633260629172308	10.6998371031183	-50.9048769637769	-1.85077064578954	2.78543010250701	6.4074884763151
"22"	"PI 533799"	13.5498924777105	-42.5699738977106	-1.33510636798142	0.836281936999867	3.39328365800153	11.811713530195	0.785790768072063	-60.4347035300918	15.5449998601473	2.85111845322765	-2.15916063792354	7.03476443577103	3.79621709102833	0.809327074212547	-0.965504403943735	2.53036892331173	0.141509146006835	0.632845555278893	-0.161029515730323	-0.351791340649137	0.554022556291363	0.237462719242854	0.180968974686767	12.6645360115088	-49.3853094507533	-1.75903117983972	2.04476194524587	5.06677531584551
"23"	"PI 533800"	14.7207008422068	-36.9932729157983	-1.25700766579514	2.63032010095235	9.1041152989508	17.6079353345703	0.696437666759529	-22.8019237073211	8.11777675503694	1.55701216714809	-2.19487153102121	7.43207125896104	2.6160898671256	1.06528381370969	-2.02465027243486	2.69625314959369	0.149319598186988	0.818322466205876	-0.104036405702701	-0.0553812889593851	0.440386422155927	-0.0624876965481572	-0.00863576604236593	16.2779626511002	-27.9985592606639	-1.71459871755686	2.61649153865565	8.38157243718305
"24"	"PI 533807"	15.091221827092	-31.4821274100616	-1.18200390436186	2.87646924743563	12.469915751148	16.4585592227957	0.722297724376056	-38.6349981954481	24.9473124976818	1.56790109951844	-1.26875678870378	13.6481426820533	4.90635292920445	0.484676023067541	-3.74277934418398	2.00160981419457	-0.0585903803937113	-1.92312151240432	-0.121497744022725	-0.230301769071107	1.00175615478265	0.115331462283557	0.0695205590631638	15.6511151834835	-32.0250781608469	-1.34876430215179	3.54804371235548	12.849143706119
"25"	"PI 533810"	23.0988532181676	-69.7129194695796	-1.307904058405	2.75535907886734	6.33836036698698	21.6678829471431	0.173865014263445	-63.5212070341167	13.0195797587223	3.09734928675962	-2.43837542791352	10.7736081983617	5.27125925526479	1.91567020479792	2.81304591567803	1.62389060781469	0.587775810330667	-4.2720687919823	-0.141158750897238	-0.174967900295401	0.312555340666832	0.158956857666793	0.189461531646152	22.7159958248124	-65.2833649389848	-1.84102071915401	3.56467684877046	7.7643384914151
"26"	"PI 533814"	19.0804366380631	-70.2413483914742	-1.33420670207539	3.94557394356123	8.29193304378425	20.9946594053594	2.2842083018698	-60.2255527175185	3.74752120932439	1.27215242403937	-2.29634004103855	11.0246957413719	5.7190064402981	1.16243858288973	0.46190411803795	2.91430349195386	0.189703326147146	-0.429351461787598	-0.109884302714864	-0.12919138005781	0.447840260587847	0.0853140318930806	0.126006640948446	19.7389180300526	-63.677234806944	-1.79407566044741	4.57253741550163	9.49609193724336
"27"	"PI 533821"	11.4306119698924	-51.8905198646383	-1.56684436612493	5.50602043841339	10.3924008491285	12.3559382432739	1.53719807856314	-42.5269406167489	2.6132529916329	2.42574065721869	-2.06369362650692	10.4102327053763	5.77302739811815	1.53562365849402	-2.25522339629107	2.50768025386528	0.128932816162409	-0.470186503936948	-0.132421835436701	-0.11198333914747	0.978836661927611	-0.0300539231722846	0.0402952805997555	11.9501782996397	-45.6587911666077	-1.8583451751719	5.47459294078592	10.339042429052
"28"	"PI 533824"	15.3278132348879	-64.2506829629278	-1.36316330327241	3.49945542496355	9.30260240811314	18.5799468728669	1.34402236586288	-60.5311739495942	6.81421442647627	3.28329701631005	-2.44961512800738	9.6979960825488	4.33262952088866	2.30510129381995	-1.01239457480981	1.18937505057259	0.326608341824042	-7.38933328452566	-0.0990046895702575	-0.192297404447739	0.360584091773905	0.011393354518048	0.0528118413593819	16.5935905787639	-61.424964515966	-1.98081044483984	3.71119484242291	9.40146281051711
"29"	"PI 533830"	7.04602578886802	-72.4629062086111	-1.0441303006751	2.8354409441367	7.04925910393134	6.52140428806894	-1.49928150857331	-76.8139234164526	3.73716191032828	0.487531454896742	-1.77803249643415	7.99968210389217	3.87443484769198	1.3661390694044	-0.553173366183907	2.07163505355554	0.218004775212671	-1.18134759767133	-0.158864633762092	-0.31398856643747	0.509478483271894	0.0298827694067664	0.0742641214753154	6.64830027145822	-72.7983257096331	-1.4331535884113	3.16703625455903	7.27462098192426
"30"	"PI 533833"	7.00853867117356	-51.5843147739866	-0.90012677436007	-0.163253807102062	4.30942727920275	11.1637659403038	-1.04774006411431	-46.2088908708404	-0.701158804781368	0.499307873473679	-0.870192243568622	3.59133432008847	0.691263048259416	1.97128806139067	-0.674378774587327	2.26681752462278	0.505904025961831	-0.907186509413424	-0.0979696010730252	-0.151452781828181	0.906489622450298	0.0187770492578883	0.0231821250888071	8.71948351416673	-47.0661110018396	-0.9272901178732	0.0813315922111107	3.93395226296149
