sample	cutoff	miss	Genetic_load	N_del	cutoff_chr	cutoff_num	Abs_genetic_load	Abs_per_Ndel
PI655980_PI655980	1%	miss50	-69758.2702901	4591	1%	0.01	69758.2702901	15.1945698736877
PI655981_PI655981	1%	miss50	-84614.3307818	5503	1%	0.01	84614.3307818	15.3760368493186
PI655982_PI655982	1%	miss50	-66858.8051802	4293	1%	0.01	66858.8051802	15.5739122245982
PI655983_PI655983	1%	miss50	-75229.6120323	4842	1%	0.01	75229.6120323	15.5368880694548
PI655984_PI655984	1%	miss50	-105120.0520932	6989	1%	0.01	105120.0520932	15.0407858196022
PI655985_PI655985	1%	miss50	-89980.5992175	5826	1%	0.01	89980.5992175	15.4446617263131
PI655986_PI655986	1%	miss50	-89754.0457544	5769	1%	0.01	89754.0457544	15.5579902503727
PI655987_PI655987	1%	miss50	-75467.34445	4845	1%	0.01	75467.34445	15.5763352837977
PI655988_PI655988	1%	miss50	-78442.3273778	5125	1%	0.01	78442.3273778	15.3058199761561
PI655989_PI655989	1%	miss50	-74145.1037245	4883	1%	0.01	74145.1037245	15.1843341643457
PI655990_PI655990	1%	miss50	-114784.9656295	7521	1%	0.01	114784.9656295	15.2619286836192
PI655991_PI655991	1%	miss50	-84609.1298122	7460	1%	0.01	84609.1298122	11.3417064091421
PI655992_PI655992	1%	miss50	-75661.1255387	6410	1%	0.01	75661.1255387	11.8036077283463
PI655993_PI655993	1%	miss50	-87958.4310042	5929	1%	0.01	87958.4310042	14.8352894255692
PI655994_PI655994	1%	miss50	-83647.4235734	5905	1%	0.01	83647.4235734	14.1655247372396
PI655995_PI655995	1%	miss50	-74687.3149763	4943	1%	0.01	74687.3149763	15.1097137318025
PI655996_PI655996	1%	miss50	-101464.3439106	6751	1%	0.01	101464.3439106	15.0295280566731
PI655997_PI655997	1%	miss50	-109873.5548082	7195	1%	0.01	109873.5548082	15.2708206821682
