sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V80	landrace	1%	-218551.6908691	10	218551.6908691
V81	landrace	1%	-241758.4857243	10	241758.4857243
V82	landrace	1%	-235131.5127611	10	235131.5127611
V83	landrace	1%	-217266.8675155	10	217266.8675155
V84	landrace	1%	-253201.6285129	10	253201.6285129
V85	landrace	1%	-199271.802575	10	199271.802575
V86	landrace	1%	-227895.7832345	10	227895.7832345
V87	landrace	1%	-213212.6985119	10	213212.6985119
V88	landrace	1%	-237630.98281	10	237630.98281
V89	landrace	1%	-245211.6568593	10	245211.6568593
V90	landrace	1%	-168345.7025595	10	168345.7025595
V91	landrace	1%	-236107.9499259	10	236107.9499259
V92	landrace	1%	-203456.5891591	10	203456.5891591
V93	landrace	1%	-246291.4372322	10	246291.4372322
V94	landrace	1%	-171685.5126131	10	171685.5126131
V95	landrace	1%	-153760.3535817	10	153760.3535817
V96	landrace	1%	-139288.6212804	10	139288.6212804
V97	landrace	1%	-132818.4926263	10	132818.4926263
V98	landrace	1%	-160808.8724754	10	160808.8724754
V99	landrace	1%	-185810.0825951	10	185810.0825951
V100	landrace	1%	-196764.3275894	10	196764.3275894
V101	landrace	1%	-201048.183326	10	201048.183326
V102	landrace	1%	-186817.4497042	10	186817.4497042
V103	landrace	1%	-198408.7101227	10	198408.7101227
V104	landrace	1%	-217053.9086884	10	217053.9086884
V105	landrace	1%	-180896.5180061	10	180896.5180061
V5	landrace	5%	-718590.3706954	10	718590.3706954
V6	landrace	5%	-740765.8666755	10	740765.8666755
V7	landrace	5%	-642865.1827538	10	642865.1827538
V8	landrace	5%	-773723.9615239	10	773723.9615239
V9	landrace	5%	-914183.7212334	10	914183.7212334
V10	landrace	5%	-821128.7389794	10	821128.7389794
V11	landrace	5%	-883664.7979707	10	883664.7979707
V12	landrace	5%	-910855.8733424	10	910855.8733424
V13	landrace	5%	-610263.2527834	10	610263.2527834
V14	landrace	5%	-870264.6654288	10	870264.6654288
V15	landrace	5%	-576973.9962628	10	576973.9962628
V16	landrace	5%	-511336.0222045	10	511336.0222045
V17	landrace	5%	-570578.0992321	10	570578.0992321
V18	landrace	5%	-794581.1828618	10	794581.1828618
V19	landrace	5%	-740535.0076395	10	740535.0076395
V20	landrace	5%	-995672.1495175	10	995672.1495175
V21	landrace	5%	-686816.5382825	10	686816.5382825
V22	landrace	5%	-819280.4046937	10	819280.4046937
V23	landrace	5%	-727171.1222577	10	727171.1222577
V24	landrace	5%	-808257.3489922	10	808257.3489922
V25	landrace	5%	-720961.8964198	10	720961.8964198
V26	landrace	5%	-917316.5005338	10	917316.5005338
V27	landrace	5%	-918605.0915498	10	918605.0915498
V28	landrace	5%	-990306.031956	10	990306.031956
V29	landrace	5%	-950568.1730245	10	950568.1730245
V30	landrace	5%	-883646.6500045	10	883646.6500045
V31	landrace	5%	-914660.4614081	10	914660.4614081
V32	landrace	5%	-1006782.5296607	10	1006782.5296607
V33	landrace	5%	-914949.2107469	10	914949.2107469
V34	landrace	5%	-608939.2723978	10	608939.2723978
V35	landrace	5%	-732049.3430229	10	732049.3430229
V36	landrace	5%	-523449.4320179	10	523449.4320179
V37	landrace	5%	-829868.3291472	10	829868.3291472
V38	landrace	5%	-825981.3877847	10	825981.3877847
V39	landrace	5%	-898612.4639892	10	898612.4639892
V40	landrace	5%	-796445.2545245	10	796445.2545245
V41	landrace	5%	-879931.3348745	10	879931.3348745
