sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[287]282set_Va85:GT	improved	-77414.682765	10	improved	77414.682765
[288]282set_Va99:GT	improved	-74340.337761	10	improved	74340.337761
[289]282set_VaW6:GT	improved	-75988.083725	10	improved	75988.083725
[290]282set_W117Ht:GT	improved	-76227.953971	10	improved	76227.953971
[291]282set_W153R:GT	improved	-77549.283438	10	improved	77549.283438
[292]282set_W182B:GT	improved	-76151.172466	10	improved	76151.172466
[293]282set_Wf9:GT	improved	-75599.509041	10	improved	75599.509041
[294]282set_Yu796:GT	improved	-76760.169605	10	improved	76760.169605
[295]29MIBZ2:GT	improved	-78683.961979	10	improved	78683.961979
[296]2FACC:GT	improved	-37995.676468	10	improved	37995.676468
[297]2MA22:GT	improved	-68935.344012	10	improved	68935.344012
[298]3189:GT	improved	-65065.467771	10	improved	65065.467771
[299]32:GT	improved	-44423.946679	10	improved	44423.946679
[300]3335:GT	improved	-63027.62074	10	improved	63027.62074
[301]3489a:GT	improved	-71541.97755	10	improved	71541.97755
[302]3514:GT	improved	-74354.337199	10	improved	74354.337199
[303]3H2:GT	improved	-80656.74939	10	improved	80656.74939
[304]3IBZ2:GT	improved	-73737.150448	10	improved	73737.150448
[305]4003:GT	improved	-82933.104727	10	improved	82933.104727
[306]411:GT	improved	-79354.366841	10	improved	79354.366841
[307]433-7:GT	improved	-71934.880523	10	improved	71934.880523
[308]441950:GT	improved	-73263.779855	10	improved	73263.779855
[309]444:GT	improved	-81674.473463	10	improved	81674.473463
[310]4676A:GT	improved	-66594.033382	10	improved	66594.033382
[311]468-3:GT	improved	-47728.979207	10	improved	47728.979207
[312]4722:GT	improved	-79111.823145	10	improved	79111.823145
[313]4936:GT	improved	-81575.756764	10	improved	81575.756764
[314]4F1:GT	improved	-85556.54502	10	improved	85556.54502
[315]4N506:GT	improved	-27808.644875	10	improved	27808.644875
[316]5023:GT	improved	-80416.150396	10	improved	80416.150396
[317]5032:GT	improved	-80622.617684	10	improved	80622.617684
[318]5707:GT	improved	-80985.954523	10	improved	80985.954523
[319]6:GT	improved	-69564.255457	10	improved	69564.255457
[320]6103:GT	improved	-60201.439187	10	improved	60201.439187
[321]619:GT	improved	-86805.05475	10	improved	86805.05475
[322]624:GT	improved	-60601.939422	10	improved	60601.939422
[323]680:GT	improved	-69410.947353	10	improved	69410.947353
[324]68122:GT	improved	-84902.2527	10	improved	84902.2527
[325]68139:GT	improved	-80759.437069	10	improved	80759.437069
[326]68202:GT	improved	-62989.726614	10	improved	62989.726614
[327]697:GT	improved	-46764.721113	10	improved	46764.721113
[328]698-3:GT	improved	-67666.904149	10	improved	67666.904149
[329]6M502:GT	improved	-78198.569693	10	improved	78198.569693
[330]7026B:GT	improved	-74340.791571	10	improved	74340.791571
[331]707:GT	improved	-77311.518665	10	improved	77311.518665
[332]7146:GT	improved	-79664.763415	10	improved	79664.763415
[333]72-125:GT	improved	-90314.922959	10	improved	90314.922959
[334]7236:GT	improved	-75112.501251	10	improved	75112.501251
[335]7327:GT	improved	-79371.482324	10	improved	79371.482324
[336]740:GT	improved	-81544.611887	10	improved	81544.611887
[337]743:GT	improved	-22949.93483	10	improved	22949.93483
[338]75-14gao:GT	improved	-83858.737126	10	improved	83858.737126
[339]75-24:GT	improved	-78753.18933	10	improved	78753.18933
[340]75-364:GT	improved	-82745.858157	10	improved	82745.858157
[341]757:GT	improved	-65707.331704	10	improved	65707.331704
[342]764:GT	improved	-29575.107638	10	improved	29575.107638
[343]77:GT	improved	-80151.315006	10	improved	80151.315006
