"Taxa"	"HN"	"LN"
"338"	"PI656062"	34.9362314008025	18.6
"339"	"PI656063"	NA	NA
"340"	"PI656064"	NA	NA
"341"	"PI656065"	NA	NA
"342"	"PI656066"	NA	NA
"343"	"PI656067"	NA	NA
"344"	"PI656068"	38.6564819536034	25.4740609528267
"345"	"PI656069"	34.3137992390144	16.2546882549096
"346"	"PI656070"	39.1839369291389	22.2666666666665
"347"	"PI656071"	31.4851302924757	24.2945105043542
"348"	"PI656072"	40.55742646408	23.8175665917715
"349"	"PI656073"	48.5000000000048	26.4666666666663
"350"	"PI656074"	NA	NA
"351"	"PI656075"	37.3897055134798	23.8999999999996
"352"	"PI656076"	31.9358055260969	20.8372357997119
"353"	"PI656077"	35.2333333333378	22.6546882549096
"354"	"PI656078"	29.0000000000062	25.3342332584382
"355"	"PI656079"	30.733333333339	22.1902301271903
"356"	"PI656080"	29.5705837644275	16.0815868448601
"357"	"PI656081"	38.2839369290741	16.2499999999999
"358"	"PI656082"	28.5666666666687	19.4815868448601
"359"	"PI656083"	39.4666666666693	24.3521324866095
"360"	"PI656085"	37.6333333333377	17.9999999999999
"361"	"PI656086"	41.1872333207834	26.3999999999997
"362"	"PI656087"	27.8183793888665	19.7987067379707
"363"	"PI656088"	44.8093800210732	18.7999999999996
"364"	"PI656089"	28.4024721926985	13.656896793857
"365"	"PI656090"	35.0780822427836	19.8999999999999
"366"	"PI656091"	40.4689829846044	24.1213549215763
"367"	"PI656092"	40.7362314008055	27.6666666666663
"368"	"PI656093"	35.1000000000045	18.3999999999996
"369"	"PI656094"	29.8093207390696	17.7333333333332
"370"	"PI656095"	46.7564819536032	23.9333333333329
"371"	"PI656096"	37.127528239249	23.2854658199428
"372"	"PI656097"	25.7601922337947	23.4999999999997
"373"	"PI656098"	37.1231486202705	13.2666666666664
"374"	"PI656099"	22.866666666671	23.588021588243
"375"	"PI656100"	NA	NA
"376"	"PI656101"	27.0000000000021	20.0407276194934
"377"	"PI656102"	35.0114155761148	19.956896793857
"378"	"PI656103"	32.3333333333352	25.8350719375947
"379"	"PI656104"	37.4666666666696	16.1508999251048
"380"	"PI656105"	40.2898152869365	24.6854658199428
"381"	"PI656106"	48.1884965634472	27.1508999251048
"382"	"PI656107"	42.9653155635628	20.2705691330453
"383"	"PI656108"	32.3885808003901	22.3407276194934
"384"	"PI656109"	45.1287955907584	19.8815868448601
"385"	"PI656110"	28.4641353676157	14.0039024663786
"386"	"PI656111"	28.6106994517343	21.9333333333332
"387"	"PI656112"	23.5013798444616	26.4453652863048
"388"	"PI656113"	34.2130874074878	19.1666666666666
"389"	"PI656114"	NA	NA
"390"	"PI656115"	NA	NA
"391"	"PI656116"	NA	NA
"392"	"PI656118"	48.1538999874504	25.6175665917715
"393"	"PI656119"	31.6873287137909	17.768844475922
"394"	"PI656120"	28.2230394416047	16.8786986196381
"395"	"PI656121"	38.6909338608187	21.5999999999997
"396"	"PI659691"	36.4218298967803	25.1666666666663
"397"	"PI659694"	36.7500000000024	20.9073942861601
"398"	"PI659695"	56.0080612975837	24.7666666666663
"399"	"PI659696"	37.3666666666666	26.2611771710208
"400"	"PI659753"	36.7334175702805	22.1854658199428
