"Taxa"	"HN"	"LN"
"284"	"PI656006"	6.00000000020599	3.5
"285"	"PI656007"	4.25000000021379	3.66666666666665
"286"	"PI656008"	5.99999999969675	3.99999999999998
"287"	"PI656009"	5.33333333303008	4.5
"288"	"PI656010"	5.83333333333333	3.45399302414462
"289"	"PI656011"	NA	NA
"290"	"PI656012"	NA	NA
"291"	"PI656013"	NA	NA
"292"	"PI656014"	NA	NA
"293"	"PI656015"	6.24999999987981	4.43339020682002
"294"	"PI656016"	NA	NA
"295"	"PI656017"	NA	NA
"296"	"PI656018"	5.33333333333333	3.50000000000001
"297"	"PI656019"	5.66666666666667	5.32853199213018
"298"	"PI656020"	4.66666666687266	3.43339020682002
"299"	"PI656021"	NA	NA
"300"	"PI656022"	4.66666666666667	3.66666666666663
"301"	"PI656023"	5.66666666636342	4.33333333333335
"302"	"PI656024"	4.66666666666667	3.24697130494502
"303"	"PI656025"	5.33333333333334	3.43339020682002
"304"	"PI656026"	6.49999999967335	3.74697130494502
"305"	"PI656027"	NA	NA
"306"	"PI656028"	6	4.5
"307"	"PI656029"	5.66666666687266	3.84743805955967
"308"	"PI656031"	5.50000000021379	3.41363797161169
"309"	"PI656032"	NA	NA
"310"	"PI656033"	5.83333333332553	3.74697130494502
"311"	"PI656034"	5.33333333333333	3.28732635747795
"312"	"PI656035"	NA	NA
"313"	"PI656036"	4.5	3.64126250813739
"314"	"PI656037"	5.25	3.47459584147073
"315"	"PI656038"	5.66666666666667	4.11137509782425
"316"	"PI656039"	5.25000000021379	3.8333333333333
"317"	"PI656040"	NA	NA
"318"	"PI656041"	5.33333333321314	4.28732635747795
"319"	"PI656042"	NA	NA
"320"	"PI656043"	4.50000000013993	4.16666666666665
"321"	"PI656044"	5.16666666654648	3.24697130494502
"322"	"PI656046"	5	3.84743805955967
"323"	"PI656047"	4.16666666651114	2.73489725013378
"324"	"PI656048"	NA	NA
"325"	"PI656049"	5.66666666666667	3.88096109947436
"326"	"PI656050"	NA	NA
"327"	"PI656051"	3.83333333300669	3.66666666666665
"328"	"PI656052"	5.33333333332553	4.00000000000001
"329"	"PI656053"	5.5	4.04762776614103
"330"	"PI656054"	NA	NA
"331"	"PI656055"	5.33333333333333	3.15451279016763
"332"	"PI656056"	5	3.26672354015336
"333"	"PI656057"	5	3.62065969081129
"334"	"PI656058"	5.83333333333333	4.07853199213018
"335"	"PI656059"	4.7499999999922	3.66666666666667
"336"	"PI656060"	5.50000000013993	3.43339020682002
"337"	"PI656061"	5.99999999969675	4.16666666666668
"338"	"PI656062"	4.25000000036151	4.32853199213018
"339"	"PI656063"	NA	NA
"340"	"PI656064"	NA	NA
"341"	"PI656065"	NA	NA
"342"	"PI656066"	NA	NA
"343"	"PI656067"	NA	NA
"344"	"PI656068"	4.66666666666667	3.16666666666667
"345"	"PI656069"	5.83333333353932	3.99999999999998
"346"	"PI656070"	4.99999999967335	3.8333333333333
"347"	"PI656071"	5.16666666665887	3.99999999999998
"348"	"PI656072"	5.66666666687266	3.74697130494502
