species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild
maize	[766]M131-5:GT	improved	-53955.123102	9502	10	5.67829121258682	5.59556210133887	1.01478477224445
maize	[767]M14:GT	improved	-59172.660533	10419	10	5.67930324724062	5.59556210133887	1.01496563604963
maize	[768]M162W:GT	improved	-76806.853786	13613	10	5.64216952809814	5.59556210133887	1.00832935564206
maize	[769]M22:GT	improved	-54439.466505	9665	10	5.63264009363683	5.59556210133887	1.00662632129292
maize	[770]M3:GT	improved	-67274.256186	11864	10	5.67045315121376	5.59556210133887	1.01338400834779
maize	[771]M3736:GT	improved	-78439.705749	13873	10	5.65412713537087	5.59556210133887	1.01046633617344
maize	[772]M37W:GT	improved	-79542.991328	14021	10	5.67313253890593	5.59556210133887	1.01386284990895
maize	[773]M9:GT	improved	-72825.655071	12854	10	5.66560254169908	5.59556210133887	1.0125171411007
maize	[774]Max:GT	improved	-63257.253367	11138	10	5.67940863413539	5.59556210133887	1.0149844700636
maize	[775]Maxa:GT	improved	-59716.002698	10537	10	5.667267979311	5.59556210133887	1.01281477654496
maize	[776]MBNA:GT	improved	-80389.942964	14155	10	5.67926124789827	5.59556210133887	1.01495813021883
maize	[777]MBPM:GT	improved	-76197.595568	13506	10	5.64175888997483	5.59556210133887	1.00825596924836
maize	[778]MBSJ:GT	improved	-79679.782309	14039	10	5.67560241534297	5.59556210133887	1.01430424907356
maize	[779]MBST:GT	improved	-82098.706635	14486	10	5.6674517903493	5.59556210133887	1.01284762597724
maize	[780]MBUB:GT	improved	-78924.702852	13950	10	5.65768479225807	5.59556210133887	1.01110213590594
maize	[781]MDF-13D:GT	improved	-81181.585693	14327	10	5.66633528952328	5.59556210133887	1.01264809270323
maize	[782]mei68113:GT	improved	-72241.536628	12757	10	5.66289383303285	5.59556210133887	1.01203305949868
maize	[783]ML606:GT	improved	-78441.444714	13876	10	5.65303003127703	5.59556210133887	1.0102702693487
maize	[784]MM-1A:GT	improved	-79643.228621	14110	10	5.64445277257264	5.59556210133887	1.0087374012384
maize	[785]MM402A:GT	improved	-80889.119442	14263	10	5.67125565743532	5.59556210133887	1.01352742668665
maize	[786]MO113:GT	improved	-77995.860938	13730	10	5.68068907050255	5.59556210133887	1.01521330075906
maize	[787]Mo17:GT	improved	-82470.066484	14475	10	5.69741391944732	5.59556210133887	1.01820224961565
maize	[788]Mo17-chin:GT	improved	-83024.309158	14572	10	5.69752327463629	5.59556210133887	1.0182217928156
maize	[789]MO18W:GT	improved	-77257.513276	13690	10	5.64335378203068	5.59556210133887	1.00854099728075
maize	[790]Mo24W:GT	improved	-74910.420666	13309	10	5.62855366038019	5.59556210133887	1.0058960223198
maize	[791]MP:GT	improved	-51170.819193	9021	10	5.67241095144663	5.59556210133887	1.01373389280933
maize	[792]Ms71:GT	improved	-71461.589104	12621	10	5.66211782774741	5.59556210133887	1.01189437722309
maize	[793]mu4:GT	improved	-80345.26547	14209	10	5.65453342740516	5.59556210133887	1.01053894586429
maize	[794]mu6:GT	improved	-79156.844125	13976	10	5.66376961398111	5.59556210133887	1.01218957298784
maize	[795]N138:GT	improved	-81776.267112	14463	10	5.65417044264675	5.59556210133887	1.01047407574904
maize	[796]N192:GT	improved	-86310.408292	15221	10	5.67048211628671	5.59556210133887	1.01338918478448
maize	[797]N42:GT	improved	-57942.084953	10224	10	5.66726183030125	5.59556210133887	1.01281367763664
maize	[798]N6:GT	improved	-75034.410937	13308	10	5.63829357807334	5.59556210133887	1.00763667277042
maize	[799]N68a:GT	improved	-52843.669525	9282	10	5.69313397166559	5.59556210133887	1.01743736707048
maize	[800]nan21-3:GT	improved	-65008.422539	11455	10	5.67511327271934	5.59556210133887	1.01421683290074
maize	[801]NC268:GT	improved	-29051.198279	5120	10	5.67406216386719	5.59556210133887	1.01402898602618
maize	[802]NC350:GT	improved	-77315.202987	13690	10	5.64756778575603	5.59556210133887	1.00929409476212
maize	[803]NC358:GT	improved	-77177.613932	13692	10	5.63669397692083	5.59556210133887	1.00735080316098
maize	[804]ND246:GT	improved	-74800.041956	13241	10	5.64912332573069	5.59556210133887	1.00957209006384
maize	[805]ning24:GT	improved	-75961.229413	13393	10	5.67171129791682	5.59556210133887	1.01360885558928
maize	[806]ning37:GT	improved	-74493.303162	13173	10	5.65499910134366	5.59556210133887	1.01062216787668
maize	[807]ning45:GT	improved	-74240.481418	13156	10	5.64308919261174	5.59556210133887	1.00849371169726
maize	[808]ning55:GT	improved	-75605.24101	13341	10	5.66713447342778	5.59556210133887	1.01279091730066
maize	[809]niu2-1:GT	improved	-77740.843564	13743	10	5.65675933668049	5.59556210133887	1.010936744912
maize	[810]NN14B:GT	improved	-70562.719378	12492	10	5.6486326751521	5.59556210133887	1.00948440439979
maize	[811]NQ508:GT	improved	-71020.074323	12537	10	5.66483802528516	5.59556210133887	1.01238051203644
maize	[812]NS501:GT	improved	-68992.270452	12165	10	5.67137447200986	5.59556210133887	1.0135486604023
maize	[813]NS701:GT	improved	-20209.633273	3552	10	5.68964900703829	5.59556210133887	1.01681455839386
maize	[814]oh07B:GT	improved	-74201.066438	13095	10	5.66636628010691	5.59556210133887	1.01265363112512
maize	[815]Oh40B:GT	improved	-79386.591014	14035	10	5.65632996180976	5.59556210133887	1.01086001001693
maize	[816]Oh43:GT	improved	-79236.854458	13971	10	5.67152347419655	5.59556210133887	1.01357528903834
maize	[817]OH7:GT	improved	-73298.256413	12939	10	5.66490891204884	5.59556210133887	1.01239318042657
maize	[818]Oh7B:GT	improved	-74432.759804	13133	10	5.66761286865149	5.59556210133887	1.01287641277279
maize	[819]OQ603:GT	improved	-72009.721317	12682	10	5.67810450378489	5.59556210133887	1.01475140494398
maize	[820]P007:GT	improved	-80769.404102	14238	10	5.67280545736761	5.59556210133887	1.01380439616786
maize	[821]P1:GT	improved	-79920.680515	14145	10	5.65010113220219	5.59556210133887	1.00974683684598
maize	[822]P136:GT	improved	-84844.362073	14933	10	5.68166892606978	5.59556210133887	1.01538841374137
maize	[823]P138:GT	improved	-85952.894903	15152	10	5.67270953689282	5.59556210133887	1.01378725392673
maize	[824]P167:GT	improved	-83653.754984	14737	10	5.67644398344303	5.59556210133887	1.01445464828007
maize	[825]P25:GT	improved	-83394.066318	14707	10	5.6703655618413	5.59556210133887	1.01336835498341
maize	[826]P39:GT	improved	-82569.020444	14615	10	5.64960796743072	5.59556210133887	1.00965870186284
maize	[827]P39-chin:GT	improved	-80271.149957	14228	10	5.6417732609643	5.59556210133887	1.0082585375318
maize	[828]Pa91:GT	improved	-78397.921482	13851	10	5.66009107515703	5.59556210133887	1.01153217007505
maize	[829]PB80:GT	improved	-10334.933835	1839	10	5.61986614192496	5.59556210133887	1.00434344935253
maize	[830]PH207:GT	improved	-76560.198946	13506	10	5.66860646719976	5.59556210133887	1.01305398180523
maize	[831]PHBA6:GT	improved	-78534.405436	13880	10	5.65809837435159	5.59556210133887	1.01117604842555
maize	[832]PHG24:GT	improved	-75579.647946	13331	10	5.66946575245668	5.59556210133887	1.01320754729898
maize	[833]PHG35:GT	improved	-80674.595988	14211	10	5.6769119687566	5.59556210133887	1.01453828336536
maize	[834]PHG39:GT	improved	-68296.443791	12054	10	5.66587388344118	5.59556210133887	1.0125656334125
maize	[835]PHG47:GT	improved	-76884.757155	13588	10	5.65828357042979	5.59556210133887	1.01120914538254
maize	[836]PHG50:GT	improved	-78491.858133	13855	10	5.66523696376759	5.59556210133887	1.01245180755157
maize	[837]PHG71:GT	improved	-65919.75497	11664	10	5.65155649605624	5.59556210133887	1.01000692936711
