sample	cutoff	miss	Genetic_load	N_del
PI656049_PI656049	25%	miss50	-1247050.9621313	176888
PI656050_PI656050	25%	miss50	-1183580.2657323	128244
PI656051_PI656051	25%	miss50	-1438245.0935237	142808
PI656052_PI656052	25%	miss50	-1590708.4356263	171446
PI656053_PI656053	25%	miss50	-1309494.2866372	136056
PI656054_PI656054	25%	miss50	-1385213.99301	149359
PI656055_PI656055	25%	miss50	-1623635.4699973	172077
PI656056_PI656056	25%	miss50	-1475435.5260772	146732
PI656057_PI656057	25%	miss50	-1427304.5756399	197731
PI656058_PI656058	25%	miss50	-1321692.7247589	141518
PI656059_PI656059	25%	miss50	-1121916.7562317	113414
PI656060_PI656060	25%	miss50	-1288747.4122658	137751
PI656061_PI656061	25%	miss50	-1168210.8731912	121219
PI656062_PI656062	25%	miss50	-1499168.6776833	163089
PI656063_PI656063	25%	miss50	-1164600.6597435	162124
PI656064_PI656064	25%	miss50	-1696257.3154114	170625
PI656065_PI656065	25%	miss50	-1438503.3263199	142980
PI656066_PI656066	25%	miss50	-1449991.0297222	152702
PI656067_PI656067	25%	miss50	-1501126.753599	169244
PI656068_PI656068	25%	miss50	-1462859.3575568	156623
PI656069_PI656069	25%	miss50	-1106503.4401792	128635
PI656070_PI656070	25%	miss50	-1166333.6344183	125257
PI656071_PI656071	25%	miss50	-1240015.8769791	124027
PI656072_PI656072	25%	miss50	-1611438.8057014	162588
PI656073_PI656073	25%	miss50	-1464562.2799015	150424
PI656074_PI656074	25%	miss50	-1214682.5164849	131046
PI656075_PI656075	25%	miss50	-1182493.6077904	120490
PI656076_PI656076	25%	miss50	-1447699.0658348	153695
PI656077_PI656077	25%	miss50	-1296592.1791662	150036
PI656078_PI656078	25%	miss50	-479903.048046	54859
PI656079_PI656079	25%	miss50	-1219038.6047742	131782
PI656080_PI656080	25%	miss50	-1154147.9486931	126118
PI656081_PI656081	25%	miss50	-430407.2918481	47192
