sample	group	Abs_genetic_load	canon
[542]dupl-478:GT	improved	241897.492663	DUPL-478
[543]dupl-5003:GT	improved	311528.096962	DUPL-5003
[544]dupl-Zheng58:GT	improved	279072.967735	DUPL-ZHENG58
[545]duzi:GT	improved	322457.097898	DUZI
[546]E200:GT	improved	328243.617455	E200
[547]e220:GT	improved	254523.028878	E220
[548]E28:GT	improved	285080.821892	E28
[549]E588:GT	improved	316188.513709	E588
[550]E600:GT	improved	315259.959325	E600
[551]E601:GT	improved	255651.621375	E601
[552]E8501:GT	improved	305962.094215	E8501
[553]equn3:GT	improved	296224.610134	EQUN3
[554]equn4:GT	improved	304496.497846	EQUN4
[555]ernan24:GT	improved	302604.356275	ERNAN24
[556]ES40:GT	improved	321042.944941	ES40
[557]F42:GT	improved	8886.571981	F42
[558]F7:GT	improved	322801.996584	F7
[559]F7584:GT	improved	305940.757133	F7584
[560]F939:GT	improved	314478.246615	F939
[561]fangyin:GT	improved	308416.574938	FANGYIN
[562]fanrong2:GT	improved	303156.571345	FANRONG2
[563]FAP1360A:GT	improved	289931.997915	FAP1360A
[564]FAPW:GT	improved	228379.934505	FAPW
[565]FBHJ:GT	improved	238416.009577	FBHJ
