group	canonical_line	Abs_genetic_load	n_alias_rows	alias_samples
improved	BM	314234.303601	1	[424]BM:GT
improved	BS110	131539.16811	1	[425]BS110:GT
improved	BT1	312191.144012	1	[426]BT1:GT
improved	C13	319423.559483	1	[428]C13:GT
improved	C166	334335.6974	1	[429]C166:GT
improved	C521	305726.901745	1	[430]C521:GT
improved	C8605-2	244887.094019	1	[431]C8605-2:GT
improved	CAI11-8	318659.252144	1	[432]cai11-8:GT
improved	CAU178	322420.286066	1	[433]CAU178:GT
improved	CAU478	239512.96485	1	[434]CAU478:GT
improved	CAU5003	309584.973043	1	[435]CAU5003:GT
improved	CAUCHANG72	332292.605823	1	[436]CAUCHANG72:GT
improved	CAUMO17	316362.594484	1	[437]CAUMo17:GT
improved	CAUZHENG58	276782.841877	1	[438]CAUZHENG58:GT
improved	CHANG3	295795.100732	1	[439]chang3:GT
improved	CHANG69	284665.929439	1	[440]chang69:GT
improved	CHANG72	327256.262676	1	[441]chang72:GT
improved	CHANG7DAXIAN1	322724.053089	1	[442]chang7daxian1:GT
improved	CHANGD	340389.130293	1	[443]changD:GT
improved	CHANGK	326252.721277	1	[444]changK:GT
improved	CHAOXIANBAI	289401.315317	1	[445]chaoxianbai:GT
improved	CHEN322	325067.441084	1	[446]chen322:GT
improved	CHENG18	296402.250686	1	[447]cheng18:GT
improved	CHENG435	147702.668127	1	[448]cheng435:GT
improved	CHENG698-3	254358.645947	1	[449]cheng698-3:GT
improved	CHENGZI108	306678.386665	1	[450]chengzi108:GT
improved	CHENGZI2142	314107.750438	1	[451]chengzi2142:GT
improved	CHI545	310712.948785	1	[452]chi545:GT
improved	CHIHUANG14	214960.041936	1	[453]chihuang14:GT
improved	CHIHUANG32	305421.782612	1	[454]chihuang32:GT
improved	CHONG72	289074.229931	1	[455]chong72:GT
improved	CML103	304811.471344	1	[457]CML103:GT
improved	CML103-RUN248	304668.559335	1	[458]CML103-run248:GT
improved	CML125-2PIANMA	296348.145054	1	[459]CML125-2pianma:GT
improved	CML133	305813.38827	1	[460]CML133:GT
improved	CML192	308601.956666	1	[461]CML192:GT
improved	CML202	312483.125886	1	[462]CML202:GT
improved	CML206	313308.000563	1	[463]CML206:GT
improved	CML312SR	316210.066005	1	[467]CML312SR:GT
improved	CML330	311277.928149	1	[469]CML330:GT
improved	CML411	311863.103599	1	[472]CML411:GT
improved	CML418	307452.607334	1	[473]CML418:GT
improved	CML479	307704.440048	1	[474]CML479:GT
improved	CML504	311600.8861	1	[475]CML504:GT
improved	CML505	303645.510843	1	[476]CML505:GT
improved	CML511	312099.719158	1	[477]CML511:GT
improved	CML58	334517.435462	1	[479]CML58:GT
improved	CML84	304519.361218	1	[481]CML84:GT
improved	CML85	311367.408848	1	[482]CML85:GT
improved	CML96	296534.4423	1	[483]CML96:GT
improved	CML99	290402.883589	1	[484]CML99:GT
improved	CN104	283940.057187	1	[485]CN104:GT
improved	CN165	268060.295203	1	[486]CN165:GT
improved	CO109	300114.895388	1	[487]Co109:GT
improved	CR14	148592.144382	1	[488]CR14:GT
improved	CR1HT	308327.937065	1	[489]CR1HT:GT
improved	CT109	325405.492766	1	[490]CT109:GT
improved	CT52C	316978.95034	1	[491]CT52C:GT
improved	CWU215B	301765.459909	1	[492]Cwu215B:GT
improved	D1049	277938.23612	1	[493]D1049:GT
improved	D1051	322123.078376	1	[494]D1051:GT
improved	D1139	274275.247593	1	[495]D1139:GT
improved	D140	274838.178419	1	[496]d140:GT
improved	D15	203639.880765	1	[497]D15:GT
improved	D20	319497.980485	1	[498]D20:GT
improved	D23	297793.685529	1	[499]D23:GT
improved	D33A	306329.451881	1	[500]D33A:GT
improved	D340	247766.878791	1	[501]D340:GT
improved	D619	342689.916973	1	[502]D619:GT
improved	D729	314744.97871	1	[503]D729:GT
improved	D801	231840.381097	1	[504]D801:GT
improved	D854	286185.965876	1	[505]D854:GT
improved	D856	331898.372359	1	[506]D856:GT
improved	D857	284936.037182	1	[507]D857:GT
improved	D864	309041.1623	1	[508]D864:GT
improved	D869	271997.672457	1	[509]D869:GT
improved	D88	310357.159376	1	[510]D88:GT
improved	D881	217965.627583	1	[511]D881:GT
improved	D883	318810.002815	1	[512]D883:GT
improved	D886	311091.748865	1	[513]D886:GT
improved	D892	300765.443625	1	[514]D892:GT
