sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[682]KI3:GT	improved	5%	-315594.050381	10	315594.050381
[683]KP3130:GT	improved	5%	-287364.434933	10	287364.434933
[684]Ky21:GT	improved	5%	-294662.183443	10	294662.183443
[685]L005:GT	improved	5%	-325788.287171	10	325788.287171
[686]L05-6:GT	improved	5%	-184874.133334	10	184874.133334
[687]L061F:GT	improved	5%	-286039.202659	10	286039.202659
[688]L061M:GT	improved	5%	-280679.682705	10	280679.682705
[689]L069:GT	improved	5%	-319252.522991	10	319252.522991
[690]L-1:GT	improved	5%	-326226.606584	10	326226.606584
[691]L105:GT	improved	5%	-292731.430423	10	292731.430423
[692]L127:GT	improved	5%	-296333.718127	10	296333.718127
[693]L135:GT	improved	5%	-299331.577012	10	299331.577012
[694]L139:GT	improved	5%	-304093.889537	10	304093.889537
[695]L473:GT	improved	5%	-292880.370092	10	292880.370092
[696]L578:GT	improved	5%	-300674.138459	10	300674.138459
[697]La2-4:GT	improved	5%	-191754.816779	10	191754.816779
[698]lan766-4-2:GT	improved	5%	-277478.829351	10	277478.829351
[699]LD61:GT	improved	5%	-315008.731573	10	315008.731573
[700]LH1:GT	improved	5%	-271224.716584	10	271224.716584
[701]LH119:GT	improved	5%	-48826.400082	10	48826.400082
[702]LH123HT:GT	improved	5%	-293386.028435	10	293386.028435
[703]LH127:GT	improved	5%	-300295.872791	10	300295.872791
[704]LH128:GT	improved	5%	-309246.799124	10	309246.799124
[705]LH132:GT	improved	5%	-73779.982088	10	73779.982088
[706]LH143:GT	improved	5%	-240144.871717	10	240144.871717
[707]LH145:GT	improved	5%	-256213.488972	10	256213.488972
[708]LH146HT:GT	improved	5%	-171580.99825	10	171580.99825
[709]LH149:GT	improved	5%	-74646.763126	10	74646.763126
