sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[278]282set_Tzi9:GT	improved	5%	-308041.956093	10	308041.956093
[279]282set_U267Y:GT	improved	5%	-301514.820603	10	301514.820603
[280]282set_VA102:GT	improved	5%	-304073.808174	10	304073.808174
[281]282set_Va14:GT	improved	5%	-300544.023261	10	300544.023261
[282]282set_Va17:GT	improved	5%	-300532.614513	10	300532.614513
[283]282set_Va22:GT	improved	5%	-309257.179358	10	309257.179358
[284]282set_Va26:GT	improved	5%	-301311.876847	10	301311.876847
[285]282set_Va35:GT	improved	5%	-310046.309195	10	310046.309195
[286]282set_Va59:GT	improved	5%	-314683.498446	10	314683.498446
[287]282set_Va85:GT	improved	5%	-301907.397871	10	301907.397871
[288]282set_Va99:GT	improved	5%	-292416.693514	10	292416.693514
[289]282set_VaW6:GT	improved	5%	-301360.93098	10	301360.93098
[290]282set_W117Ht:GT	improved	5%	-301643.161588	10	301643.161588
[291]282set_W153R:GT	improved	5%	-301684.105066	10	301684.105066
[292]282set_W182B:GT	improved	5%	-297680.322181	10	297680.322181
[293]282set_Wf9:GT	improved	5%	-294000.899754	10	294000.899754
[294]282set_Yu796:GT	improved	5%	-300198.148298	10	300198.148298
[5]ZEAxppRCWDIAAPEI-3:GT	landrace	5%	-325873.075705	10	325873.075705
[6]ZEAxppRCXDIAAPEI-4:GT	landrace	5%	-323288.768214	10	323288.768214
[7]BKN009:GT	landrace	5%	-313837.357015	10	313837.357015
[8]BKN010:GT	landrace	5%	-311947.307426	10	311947.307426
[9]BKN011:GT	landrace	5%	-308869.443294	10	308869.443294
[10]BKN014:GT	landrace	5%	-315520.379314	10	315520.379314
[11]BKN015:GT	landrace	5%	-303794.376888	10	303794.376888
[12]BKN016:GT	landrace	5%	-320942.326409	10	320942.326409
[13]BKN017:GT	landrace	5%	-303314.170259	10	303314.170259
[14]BKN018:GT	landrace	5%	-304314.586401	10	304314.586401
[15]BKN019:GT	landrace	5%	-307154.36468	10	307154.36468
[16]BKN020:GT	landrace	5%	-307203.75785	10	307203.75785
[17]BKN022:GT	landrace	5%	-302777.12568	10	302777.12568
[18]BKN023:GT	landrace	5%	-312683.526681	10	312683.526681
[19]BKN025:GT	landrace	5%	-303731.86616	10	303731.86616
[20]BKN026:GT	landrace	5%	-305428.061571	10	305428.061571
[21]BKN027:GT	landrace	5%	-316494.55558	10	316494.55558
[22]BKN029:GT	landrace	5%	-300405.801888	10	300405.801888
[23]BKN030:GT	landrace	5%	-303672.894732	10	303672.894732
[24]BKN031:GT	landrace	5%	-302697.75617	10	302697.75617
[25]BKN032:GT	landrace	5%	-308409.290505	10	308409.290505
[26]BKN033:GT	landrace	5%	-307303.011125	10	307303.011125
[27]BKN034:GT	landrace	5%	-305042.129499	10	305042.129499
[28]BKN035:GT	landrace	5%	-296691.950057	10	296691.950057
[29]BKN040:GT	landrace	5%	-306724.46651	10	306724.46651
[30]RIMMA0438.1:GT	landrace	5%	-305109.744196	10	305109.744196
[5]german_Teosinte:GT	wild	5%	-257781.066417	10	257781.066417
[6]TIL01:GT	wild	5%	-263088.109551	10	263088.109551
[7]TIL01-JD:GT	wild	5%	-266096.931096	10	266096.931096
