sample	group	N_del_sum	n_chr_rows
[580]german_D06:GT	improved	72924	10
[581]german_D09:GT	improved	74165	10
[582]german_D152:GT	improved	79880	10
[583]german_DK105:GT	improved	81933	10
[584]german_EC169:GT	improved	52357	10
[585]german_EC49A:GT	improved	77554	10
[586]german_EP1:GT	improved	80879	10
[587]german_EP44:GT	improved	79851	10
[588]german_EZ5:GT	improved	79525	10
[589]german_F03802:GT	improved	78944	10
[590]german_F2:GT	improved	81070	10
[591]german_F252:GT	improved	75613	10
[592]german_F283:GT	improved	79766	10
[593]german_F353:GT	improved	75049	10
[594]german_F618:GT	improved	68425	10
[595]german_F64:GT	improved	79531	10
[596]german_F7:GT	improved	82156	10
[597]german_F98902:GT	improved	47942	10
[598]german_FF0721H-7:GT	improved	81897	10
[599]german_Lo11:GT	improved	80237	10
[600]german_Mo17:GT	improved	80618	10
[601]german_PH207:GT	improved	75701	10
[602]german_UH006:GT	improved	82281	10
[603]german_UH007:GT	improved	81531	10
[604]german_UH009:GT	improved	81765	10
[605]german_UH250:GT	improved	70749	10
[606]german_UH304:GT	improved	74195	10
[607]german_W117:GT	improved	76970	10
[608]GN4095:GT	improved	79119	10
[609]guan17-1:GT	improved	80546	10
[610]guangyou5:GT	improved	80586	10
[611]GY3:GT	improved	55573	10
[612]H105W:GT	improved	66619	10
[613]H114:GT	improved	65249	10
[614]H127:GT	improved	78625	10
[615]H16:GT	improved	79715	10
[616]H2:GT	improved	72657	10
[617]H21:GT	improved	84207	10
[618]H66-6:GT	improved	65714	10
[619]H84:GT	improved	67196	10
[620]H8431:GT	improved	55977	10
[621]H99:GT	improved	80708	10
[622]hai014:GT	improved	79941	10
[623]hai1134:GT	improved	80947	10
[624]hai9-21:GT	improved	75343	10
[625]han21:GT	improved	68771	10
[626]han49:GT	improved	82902	10
[627]HB8229:GT	improved	69916	10
[628]HBAI:GT	improved	74707	10
[629]HD568:GT	improved	61500	10
[630]Hda-5:GT	improved	69709	10
[631]he344:GT	improved	78416	10
[632]HHe01:GT	improved	78080	10
[633]HP301:GT	improved	77045	10
[634]hu803:GT	improved	55052	10
[635]hua160:GT	improved	76670	10
[636]huangC:GT	improved	76733	10
[637]huangchanga:GT	improved	84849	10
[638]huangchangb:GT	improved	85791	10
[639]huangyesi:GT	improved	88063	10
[640]huangyesi3:GT	improved	87620	10
[641]huangzaosi:GT	improved	88745	10
[642]huo17:GT	improved	81678	10
[643]huobai:GT	improved	81048	10
[644]huotanghuang:GT	improved	81818	10
[645]huotanghuang17:GT	improved	77150	10
[646]IA5125:GT	improved	78170	10
[647]IB014:GT	improved	77188	10
[648]IB02:GT	improved	76351	10
[649]IBB14:GT	improved	68320	10
[650]IBB15:GT	improved	74968	10
[651]IBC2:GT	improved	76686	10
[652]Il14H:GT	improved	80620	10
[653]J8606:GT	improved	80307	10
[654]ji4112:GT	improved	86480	10
[655]ji432:GT	improved	80443	10
[656]ji434:GT	improved	75182	10
[657]ji444:GT	improved	86480	10
[658]ji53:GT	improved	80475	10
[659]ji533:GT	improved	81973	10
[660]ji63:GT	improved	75514	10
[661]ji833:GT	improved	75878	10
[662]ji846:GT	improved	78917	10
[663]ji853:GT	improved	81845	10
[664]ji870:GT	improved	57529	10
[665]jian1495a:GT	improved	76516	10
[666]jian1495b:GT	improved	75704	10
[667]jiao05:GT	improved	74511	10
[668]jiao3:GT	improved	80342	10
