Pedigree,Treatment,Bench,Row,Column,Whole_Fresh_1,Whole_Fresh_2,Whole_Fresh_3,Pot_id
PI 656080,HN,2,21,17,2.8,5.1,5.2,2170
PI 656051,HN,2,33,9,2.8,NA,NA,2268
PI 595702,HN,2,25,9,2.9,5.1,5.6,2086
PI 564163,HN,2,25,16,2.9,6.4,NA,2156
PI 576399,HN,2,36,11,3,5.3,7.5,2285
PI 655999,HN,2,36,3,3.1,3.4,3.8,2205
PI 656020,HN,2,25,11,3.25,8.77,7.24,2106
PI 656022,HN,2,29,11,3.3,5.6,6.7,2102
PI 17548,HN,2,40,6,3.3,3.5,4.4,2231
PI 656069,HN,2,25,5,3.4,4.2,5.9,2046
PI 533939,HN,2,25,13,3.4,5.8,6,2126
PI 533927,HN,2,27,9,3.7,6.6,8,2084
PI 655987,HN,2,27,10,3.7,6.1,3.1,2094
PI 597968,HN,2,27,11,3.7,7.3,6.4,2104
PI 656004,LN,1,11,17,3.8,NA,NA,1350
PI 533757,HN,2,38,3,3.8,2.2,3.1,2203
PI 655974,HN,2,39,5,3.8,5,6.8,2222
PI 656103,HN,2,32,6,3.8,3.1,6.1,2239
PI 533831,HN,2,33,7,3.8,4.1,3.7,2248
PI 533843,HN,2,37,9,3.8,4,5.2,2264
PI 656079,HN,2,36,9,3.8,5.4,3.2,2265
PI 533940,HN,2,39,10,3.8,5.5,6.6,2272
PI 655991,HN,2,36,13,3.8,7.8,5.8,2305
PI 533979,HN,2,25,3,3.9,7.2,7.1,2026
PI 533807,HN,2,30,7,3.9,5.1,6.1,2061
PI 576364,HN,2,25,12,3.95,3.11,4.14,2116
PI 597961,HN,2,21,8,4,6,2,2080
PI 534028,HN,2,26,12,4,4.9,5.2,2115
PI 576390,HN,2,26,17,4,5.9,3,2165
PI 576339,HN,2,21,12,4.06,5.61,4.95,2120
PI 534148,HN,2,26,9,4.1,2.9,3.8,2085
PI 656111,HN,2,30,11,4.1,8.2,6.4,2101
PI 656097,HN,2,35,1,4.1,10.2,7.9,2186
PI 655972,HN,2,32,1,4.1,6.9,5.3,2189
PI 564163,HN,2,33,3,4.1,6.6,2.7,2208
PI 656023,HN,2,21,1,4.2,6,7.7,2010
PI 576375,HN,2,36,6,4.2,8.6,NA,2235
PI 534047,HN,2,31,6,4.3,5.1,8.9,2240
PI 576340,HN,2,31,7,4.3,6.1,2.9,2250
PI 576425,HN,2,39,8,4.3,5.8,6.8,2252
PI 597965,HN,2,27,7,4.4,6.7,8.2,2064
PI 533855,HN,2,28,12,4.4,10.7,9.9,2113
PI 597946,HN,2,40,7,4.4,4.3,2.2,2241
PI 561071,HN,2,39,11,4.4,3.1,4.2,2282
PI 533878,HN,2,30,5,4.5,10.1,NA,2041
PI 564163,HN,2,27,5,4.5,6,5.1,2044
PI 595718,HN,2,22,10,4.5,7.1,6.2,2099
PI 533991,HN,2,31,2,4.5,9.2,9.2,2200
PI 533838,HN,2,37,7,4.5,3.2,3.3,2244
PI 595741,HN,2,40,12,4.5,5.4,5.2,2291
PI 656099,HN,2,29,7,4.6,5.4,2.9,2062
PI 576434,HN,2,24,7,4.6,12.9,15.1,2067
PI 487701,HN,2,28,11,4.6,4.1,6.3,2103
PI 534112,HN,2,23,11,4.6,4.42,4.67,2108
PI 534053,HN,2,27,12,4.6,10.8,NA,2114
PI 655982,HN,2,27,13,4.6,12.4,3.3,2124
PI 533814,HN,2,35,6,4.6,6.4,7.3,2236
PI 597966,HN,2,39,7,4.6,7,NA,2242
PI 533758,HN,2,37,14,4.6,10.2,6.9,2314
PI 598070,HN,2,24,6,4.7,3.8,1.3,2057
PI 576332,HN,2,23,8,4.7,6.1,7.5,2078
PI 576381,HN,2,21,14,4.7,11.5,9.2,2140
PI 533822,HN,2,39,3,4.7,7.6,3.8,2202
PI 576333,HN,2,32,4,4.7,6.8,3.4,2219
PI 564163,HN,2,38,12,4.7,5.7,8,2293
PI 656081,HN,2,33,13,4.7,7.4,5.9,2308
PI 576385,HN,2,23,18,4.8,8,6.3,2178
PI 533766,HN,2,34,7,4.8,3.3,2.9,2247
PI 656098,HN,2,29,3,4.9,4,4.5,2022
PI 533937,HN,2,21,13,4.9,9.4,9.1,2130
PI 564163,HN,2,25,14,4.9,5.5,5.7,2136
PI 533762,HN,2,37,2,4.9,5.4,4.6,2194
PI 534097,HN,2,32,2,4.9,4.2,NA,2199
PI 595699,HN,2,31,3,4.9,3.1,6.6,2210
PI 656082,HN,2,39,6,4.9,4.2,5.7,2232
PI 533830,HN,2,38,8,4.9,5.8,4.3,2253
PI 576359,HN,2,40,9,4.9,6.1,4.8,2261
PI 534037,HN,2,39,9,4.9,9,7.6,2262
PI 641836,HN,2,26,5,5,4.4,5.8,2045
PI 534163,HN,2,22,18,5,12.5,NA,2179
PI 656047,HN,2,38,2,5,5.8,5.9,2193
PI 641824,HN,2,37,5,5,5.4,2.7,2224
PI 576428,HN,2,24,11,5.01,3.62,12.14,2107
PI 534046,HN,2,29,1,5.1,6.8,5,2002
PI 656029,HN,2,25,2,5.1,9.5,9.3,2016
PI 595714,HN,2,40,1,5.1,6.2,6.4,2181
PI 595743,HN,2,38,7,5.1,5.4,6,2243
PI 601816,HN,2,40,11,5.1,5.2,6,2281
PI 656101,HN,2,37,6,5.2,4.9,4.1,2234
PI 533903,HN,2,36,7,5.2,4.3,4.9,2245
PI 534145,HN,2,32,7,5.2,4.6,6.3,2249
PI 576345,HN,2,24,10,5.3,7.1,4.2,2097
PI 597971,HN,2,25,15,5.3,6.3,3.2,2146
PI 659696,HN,2,23,15,5.3,5.6,5.6,2148
PI 576130,HN,2,38,1,5.3,5.1,4.9,2183
